OID_,pointid,grid_code,dCSI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDVI_NDBI,dCSI_cat
2051,2177,0.1509113,0.1092957,0.1387283,0.0737946,0.031206,1.3283195,0.024366,0.0888469,0.1402453,19.6617851,30.0217323,2.0042713,0.2029582,1
2052,2178,0.0927152,0.142778,0.1215361,0.0717264,0.0245166,1.3854448,0.024366,0.1034316,0.14791,19.1235771,29.5005722,2.1631825,0.1378846,2
2053,2179,0.068933,0.142778,0.1215361,0.0717264,0.0245166,1.3854448,0.0178502,0.1034316,0.14791,19.0221424,90.6253891,2.2495081,0.1141024,2
2054,2180,0.0777853,0.2638094,0.1266596,0.066002,0.0235497,1.4776119,0.0178502,0.1550677,0.1513019,19.209034,192.2115784,2.288691,0.073929,3
2055,2181,0.0857393,0.2638094,0.1266596,0.066002,0.0235497,1.4776119,0.0178502,0.1550677,0.1513019,19.3971214,293.762207,2.3283665,0.081883,3
2056,2182,0.1221464,0.3607093,0.1595556,0.0789909,0.0306143,1.5764351,-0.0030428,0.1620253,0.1641414,19.6984806,316.2729187,2.303561,0.1243203,3
2057,2183,0.1869038,0.3607093,0.1595556,0.0789909,0.0306143,1.5764351,-0.0030428,0.1620253,0.1641414,20.0435562,308.0630188,2.254705,0.1890777,3
2058,2184,0.1724138,0.5053724,0.1875143,0.0797162,0.0288328,1.6842448,-0.0030428,0.2055857,0.1779502,20.3886337,299.8366089,2.2071624,0.1437289,3
2059,2185,0.1461762,0.5053724,0.1875143,0.0797162,0.0288328,1.6842448,-0.0185785,0.2055857,0.1779502,20.76647,270.3365479,2.0719178,0.1174913,3
2060,2186,0.2023092,0.4965173,0.1985246,0.0945116,0.0408894,1.6314235,-0.0185785,0.1880096,0.1737433,21.1529007,236.821991,1.9190934,0.1875611,3
2061,2187,0.1690731,0.4965173,0.1985246,0.0945116,0.0408894,1.6314235,-0.0185785,0.1880096,0.1737433,21.5417271,203.4561005,1.765931,0.154325,3
2062,2188,0.1550967,0.3013036,0.1656492,0.0908398,0.0354302,1.4341512,-0.0029059,0.1189058,0.1532754,21.6023769,189.0381012,2.1740382,0.1901043,3
2063,2189,0.1888914,0.3013036,0.1656492,0.0908398,0.0354302,1.4341512,-0.0029059,0.1189058,0.1532754,21.6491871,175.4523315,2.6071489,0.223899,3
2064,2190,0.1595294,0.2424765,0.1577825,0.0678466,0.0181886,1.3887469,-0.0029059,0.1179788,0.1512915,21.6710663,162.7232056,3.0059528,0.1934475,3
2065,2191,0.1370513,0.2424765,0.1577825,0.0678466,0.0181886,1.3887469,0.0132342,0.1179788,0.1512915,21.3294392,162.6399841,2.9814136,0.1709694,3
2066,2192,0.1226171,0.1423019,0.1333197,0.0733126,0.0284334,1.2917833,0.0132342,0.0701107,0.1290913,20.987812,162.5032959,2.9579878,0.1821364,2
2067,2193,0.105919,0.1423019,0.1333197,0.0733126,0.0284334,1.2917833,0.0132342,0.0701107,0.1290913,20.7016983,166.7374573,2.8941717,0.1654383,2
2068,2194,0.0994177,0.119964,0.1285421,0.080826,0.0257559,1.2159292,0.0305368,0.0419669,0.1221596,20.6567211,190.2941742,2.648869,0.1800236,2
2069,2195,0.1048951,0.119964,0.1285421,0.080826,0.0257559,1.2159292,0.0305368,0.0419669,0.1221596,20.6093521,213.8729401,2.4025593,0.185501,2
2070,2196,0.1193252,0.2153931,0.1398176,0.0649087,0.0298156,1.4090177,0.0305368,0.1174799,0.1514461,20.7854347,232.6109772,2.3074887,0.1539067,3
2071,2197,0.1073446,0.2153931,0.1398176,0.0649087,0.0298156,1.4090177,0.0097564,0.1174799,0.1514461,21.4807663,240.177063,2.5639746,0.1419261,3
2072,2198,0.0680913,0.3706096,0.1185472,0.0572806,0.022952,1.5010953,0.0097564,0.182266,0.1620009,22.1760979,247.7718048,2.8224642,0.0472096,3
2073,2199,0.1147683,0.3706096,0.1185472,0.0572806,0.022952,1.5010953,0.0097564,0.182266,0.1620009,22.726017,239.45578,2.8396988,0.0938866,3
2074,2200,0.1369256,0.2872819,0.1591304,0.0737012,0.0434442,1.5011262,0.000483,0.1179538,0.1622642,23.0745449,209.0939636,2.519968,0.1821006,3
2075,2201,0.1218935,0.2872819,0.1591304,0.0737012,0.0434442,1.5011262,0.000483,0.1179538,0.1622642,23.4230728,178.7625427,2.1993339,0.1670685,3
2076,2202,0.15727,0.2943938,0.1521691,0.0758791,0.0200819,1.4974241,0.000483,0.1684912,0.1637147,23.246006,160.3131256,2.2565863,0.152358,3
2077,2203,0.1491082,0.2943938,0.1521691,0.0758791,0.0200819,1.4974241,0.0069781,0.1684912,0.1637147,22.6154537,152.1035004,2.6425023,0.1441962,3
