OID_,pointid,grid_code,dNDVI,dNDVIre1n,dNDVIre2n,dNDVIre3n,dNBR,dNBR2,dCSI,dBSI,NDVI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDBI,dNDBI,dNDVI_dNDBI,dNDVI_dNDBI_divided_by_2,dCSI_cat,post_NDBI,NDVI_NDBI
5448,5670,0.1400832,0.0461713,0.0118749,0.0331894,0.0247974,-0.0340159,0.041677,0.0206966,0.004235,0.1400832,0.1708645,0.1171249,0.0470779,1.3347129,0.0173767,0.0305918,0.149582,7.0475965,328.1792603,3.0182283,0.1195373,0.0759359,2.98E-02,0.0148823,1,0.0436014,0.2596205
5449,5671,0.1621466,0.0616556,0.0276489,-0.010278,0.0056813,0.0202505,0.0065804,-0.0893409,0.004235,0.1621466,0.192622,0.0776371,0.0279734,1.324002,0.0173767,0.1094183,0.1403743,7.4183269,315.3458252,3.2410803,0.0314389,-0.0137261,-0.075381663,-0.0376908,0,0.045165,0.1935855
5450,5672,0.1753485,0.0752818,0.0276489,-0.010278,0.0056813,0.0202505,0.0065804,-0.0893409,-0.0165321,0.1753485,0.192622,0.0776371,0.0279734,1.324002,-0.0017662,0.1094183,0.1403743,7.7902508,302.5166626,3.4641633,0.0314389,-0.0137261,-8.90E-02,-0.0445039,0,0.045165,0.2067874
5451,5673,0.214355,0.1197103,0.0855201,0.0462314,0.0466247,0.0310993,0.0225305,0.0670086,-0.0165321,0.214355,0.2395766,0.122457,0.0659484,1.4119095,-0.0017662,0.1030678,0.1444211,8.3897533,282.690094,3.0001826,0.0419781,-0.0083858,-0.128096089,-0.064048,1,0.0503639,0.2563331
5452,5674,0.2408143,0.153481,0.0855201,0.0462314,0.0466247,0.0310993,0.0225305,0.0670086,-0.0165321,0.2408143,0.2395766,0.122457,0.0659484,1.4119095,-0.0017662,0.1030678,0.1444211,9.1108541,259.2058411,2.1711953,0.0419781,-0.0083858,-0.161866717,-0.0809334,1,0.0503639,0.2827924
5453,5675,0.2164357,0.1387595,0.0655392,0.0242856,0.0321718,0.0367769,0.0320497,0.132224,-0.0154973,0.2164357,0.2174868,0.1064085,0.0476371,1.4261452,0.0068671,0.1129879,0.156867,9.8331461,235.800705,1.3428084,0.0446708,-0.0044022,-0.143161725,-0.0715809,2,0.049073,0.2611065
5454,5676,0.174091,0.090188,0.0655392,0.0242856,0.0321718,0.0367769,0.0320497,0.132224,-0.0154973,0.174091,0.2174868,0.1064085,0.0476371,1.4261452,0.0068671,0.1129879,0.156867,9.7794504,203.8339233,2.0131149,0.0446708,-0.0044022,-9.46E-02,-0.0472951,2,0.049073,0.2187618
5455,5677,0.1632803,0.065461,0.0214225,0.0031922,0.0122554,0.0277605,0.0147622,0.0508022,-0.0154973,0.1632803,0.1888813,0.095528,0.0423492,1.2640504,0.0068671,0.0611781,0.1285624,9.4948425,169.1629944,3.1282456,0.0679185,-0.012771,-0.078231968,-0.039116,1,0.0806895,0.2311988
5456,5680,0.2021028,0.0162837,-0.0145459,0.0059001,0.0079603,-0.0240506,-0.0126282,-0.1109123,-0.0058152,0.2021028,0.2113659,0.1141678,0.0588235,1.3814667,0.0032996,0.086471,0.1575671,19.4810066,78.4353867,2.7150397,0.0720781,0.0112605,-5.02E-03,-0.0025116,0,0.0608176,0.2741809
5457,5681,0.1516002,0.0203618,-0.0329445,-0.02178,-0.003114,0.0178605,0.0018571,-0.0258044,-0.0058152,0.1516002,0.1486039,0.0801068,0.0195337,1.1535171,0.0032996,0.0170521,0.1211362,19.0288563,94.532959,3.574141,0.1042995,-0.0157764,-3.61E-02,-0.0180691,0,0.1200759,0.2558997
